article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,wikidata_id,name_de,description_en,description_de
308,Aristotle,Male,-384,Stageira,,Greece,Europe,40.33333,23.5,Philosopher,Philosophy,Humanities,152,56355172,370758,31.9938,Q868,Aristoteles,4th-century BCE Classical Greek philosopher and polymath,klassischer griechischer Philosoph
22954,Plato,Male,-427,Athens,,Greece,Europe,37.96667,23.71667,Philosopher,Philosophy,Humanities,142,46812003,329662,31.9888,Q859,Platon,4th-century BCE Greek philosopher,antiker griechischer Philosoph
1095706,Jesus Christ,Male,-4,Judea,,Israel,Asia,32.5,34.9,Religious Figure,Religion,Institutions,214,60299092,281771,31.8981,Q302,Jesus Christus,central figure of Christianity (6 or 4 BC – AD 30 or 33) (5-33),zentrale Person des Christentums
25664190,Socrates,Male,-469,Athens,,Greece,Europe,37.96667,23.71667,Philosopher,Philosophy,Humanities,137,40307143,294213,31.6521,Q913,Sokrates,5th-century BCE Greek philosopher,antiker griechischer Philosoph
783,Alexander the Great,Male,-356,Pella,,Greece,Europe,40.8,22.51667,Military Personnel,Military,Institutions,138,48358148,350421,31.584,Q8409,Alexander der Große,king of Macedonia and conqueror of Achaemenid Persia (356–323 BC),makedonischer Feldherr und König (356–323 v. Chr.)
18079,Leonardo da Vinci,Male,1452,Vinci,,Italy,Europe,43.78333,10.91667,Inventor,Invention,Science & Technology,174,88931135,511098,31.4644,Q762,Leonardo da Vinci,Italian Renaissance polymath (1452−1519),"italienischer Maler, Bildhauer, Architekt, Anatom, Ingenieur und Naturphilosoph (1452–1519)"
5823,Confucius,Male,-551,Qufu,,China,Asia,,,Philosopher,Philosophy,Humanities,192,22363652,116477,31.3705,Q4604,Konfuzius,5th-century BCE Chinese philosopher and politician,"chinesischer Lehrer, Politiker und Philosoph"
15924,Julius Caesar,Male,-100,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,128,43088745,336631,31.1161,Q1048,Gaius Iulius Caesar,Roman general and dictator,"römischer Staatsmann, Feldherr und Autor"
13633,Homer,Male,-800,Smyrna,,Turkey,Europe,38.41861,27.13917,Writer,Language,Humanities,141,20839405,147797,31.1087,Q6691,Homer,reputed author of the Iliad and the Odyssey,mutmaßlicher Autor der Ilias und Odyssee
23275,Pythagoras,Male,-570,Samos Island,,Greece,Europe,37.75,26.83333,Philosopher,Philosophy,Humanities,114,26168219,229546,31.0691,Q10261,Pythagoras,Greek philosopher and mathematician (c. 570 – c. 495 BC),griechischer Philosoph und Mathematiker
1844,Archimedes,Male,-287,Syracuse,,Italy,Europe,37.08333,15.28333,Mathematician,Math,Science & Technology,129,22022077,170714,30.9907,Q8739,Archimedes,Greek mathematician and physicist (c. 287 – c. 212 BC),"antiker griechischer Mathematiker, Physiker und Ingenieur"
